"id","brand","company","overall_grade","color_grade","statement","grade_policies","grade_wage","grade_rights","grade_workers","grade_environment","grade_climate"
"418","Puma","Puma","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Good Progress","Good Progress"
"419","Pyra","Culture Kings","5","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"420","Quality Durables Co.","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"421","Quechua","Decathlon","32","3","This company is new to the Ethical Fashion Guide and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","No Evidence","Some Progress","Good Progress"
"422","Quiksilver","Boardriders","5","1","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"423","R.M. Williams","R.M. Williams","33","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Some Progress","Limited Progress","Limited Progress","Some Progress"
"424","Rafters","Weyco Group","7","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"425","Ralph Lauren","Ralph Lauren","40","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Good Progress"
"426","Ravella","WM Ritchie","2","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"427","Razzamatazz","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"428","Rebecca Vallance","Hot Springs","32","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Some Progress","Some Progress","Some Progress"
"429","Reclaimed Vintage","ASOS","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"430","Red or Dead","Pentland Brands","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Good Progress"
"431","Regatta","Myer","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","No Evidence"
"432","Reserve","Myer","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","No Evidence"
"433","Review","The PAS Group Limited","20","2","This is higher than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"434","Rio","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"435","Rip Curl","Rip Curl","52","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Some Progress"
"436","Rivers","Mosaic Group","30","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence","No Evidence"
"437","Rivet","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"438","RLX","Ralph Lauren","40","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Good Progress"
"439","Robert Huntley","Lowes","9","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"440","Rockmans","Mosaic Group","30","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence","No Evidence"
"441","Rockrider","Decathlon","32","3","This company is new to the Ethical Fashion Guide and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","No Evidence","Some Progress","Good Progress"
"442","Rockwear","Retail Apparel Group","35","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Good Progress","Some Progress","Limited Progress","No Evidence"
"443","Rodd & Gunn","Rodd & Gunn","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Some Progress","Limited Progress","No Evidence"
"444","Roler","Industrie","7","1","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"445","Rolla's Jeans","ThreeByOne","34","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Some Progress","Limited Progress","No Evidence"
"446","Roxy","Boardriders","5","1","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"447","Rubi","Cotton On Group","42","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Some Progress","Some Progress"
"448","Rugged Mile Denim","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"449","Russell Athletic","Fruit of the Loom","34","3","This is lower than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"450","RVCA","Boardriders","5","1","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"451","SABA","APG & Co","46","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Some Progress","Limited Progress","No Evidence"
"452","Salty Crew","Globe International Limited","10","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"453","Sandler","WM Ritchie","2","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"454","Sara","Ezibuy","24","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"455","Saucony","Wolverine Worldwide","14","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"456","Schooltex","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"457","Scout & Ro.","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"458","Seafolly","Seafolly","28","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"459","SeaVees","Pentland Brands","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Good Progress"
"460","Secret","Gildan Activewear","54","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"461","Secret Silky","Gildan Activewear","54","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"462","Seed Heritage","Brandbank","21","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","No Evidence"
"463","Serra","ALDI Stores","43","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"464","Sheer Relief","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"465","Sheike","Sheike","0","1","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"466","Shein","Shein","4","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"467","Sheridan","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"468","Shoes & Sox","Brand Collective (Footwear)","22","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","No Evidence"
"469","Showpo","Showpo","22","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","No Evidence","No Evidence"
"470","Signature by Levi Strauss & Co.","Levi Strauss and Co","39","4","This is lower than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","No Evidence","Good Progress","Some Progress"
"471","Signature Society","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"472","Silent D","Munro Footwear Group","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","No Evidence"
"473","Silks","Gildan Activewear","54","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"474","Simple Joys by Carter's","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"475","Slazenger","The PAS Group Limited","20","2","This is higher than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"476","Smartwool","VF Corp","54","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Good Progress"
"477","Social Graces","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"478","Society New York","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"479","Soft Style","Wolverine Worldwide","14","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"480","Soho","Myer","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","No Evidence"
"481","Something For Everyone","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"482","Sonneti","JD Sports","40","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"483","Southcape","Ezibuy","24","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"484","Spalding","Fruit of the Loom","34","3","This is lower than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"485","Speedo","Pentland Brands","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Good Progress"
"486","Sperry","Wolverine Worldwide","14","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"487","Sportscraft","APG & Co","46","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Some Progress","Limited Progress","No Evidence"
"488","Sportsgirl","Sussan Group","23","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"489","Spotted Zebra","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"490","Sprout","Myer","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","No Evidence"
"491","Spurr","The Iconic","29","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","Some Progress","Limited Progress","Limited Progress","Some Progress"
"492","St Swim","The Iconic","29","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","Some Progress","Limited Progress","Limited Progress","Some Progress"
"493","Stacy Adams","Weyco Group","7","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"494","Standard","General Pants Group","31","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"495","Staple Superior","The Iconic","29","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","Some Progress","Limited Progress","Limited Progress","Some Progress"
"496","Status","JD Sports","40","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"497","Stocking Fox","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"498","Stradivarius","Inditex","60","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Good Progress"
"499","Stride Rite Children’s Group","Wolverine Worldwide","14","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"500","Style Tread","Munro Footwear Group","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","No Evidence"
"501","Stylerunner The Label","Accent Group","16","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","No Evidence","No Evidence","Limited Progress","No Evidence"
"502","Styling Services","Munro Footwear Group","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","No Evidence"
"503","Subtitled","General Pants Group","31","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"504","Suite Alice","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"505","Supersoft by Diana Ferrari","Munro Footwear Group","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","No Evidence"
"506","Supply","ASOS","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"507","Supply & Demand","JD Sports","40","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"508","Supre","Cotton On Group","42","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Some Progress","Some Progress"
"509","Sussan","Sussan Group","23","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"510","Suzanne Grae","Sussan Group","23","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"511","Symbol","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"512","Table Eight","Mosaic Group","30","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence","No Evidence"
"513","Target","Kmart and Target Australia","57","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Some Progress","Some Progress","Limited Progress","Good Progress","Some Progress"
"514","Tarocash","Retail Apparel Group","35","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Good Progress","Some Progress","Limited Progress","No Evidence"
"515","Technicals","JD Sports","40","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"516","TEMT","Fast Future Brands","2","1","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"517","The Fix","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"518","The North Face","VF Corp","54","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Good Progress"
"519","The Warehouse","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"520","Therapy Plus","Gildan Activewear","54","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","Some Progress"
"521","Tilt","Best & Less","33","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"522","Tilt Surf","Best & Less","33","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"523","Timberland","VF Corp","54","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Good Progress"
"524","TK Maxx","TJX Australia","8","2","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","No Evidence","No Evidence","No Evidence","Some Progress"
"525","Token","Universal Store","21","2","This is higher than the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","No Evidence","No Evidence","Limited Progress","Some Progress"
"526","Tokito","Myer","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","No Evidence"
"527","Tommy Hilfiger","PVH Corp","43","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"528","TOMS","Toms","15","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","No Evidence","No Evidence","Limited Progress","No Evidence"
"529","Top End","Munro Footwear Group","18","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","No Evidence"
"530","Torque","ALDI Stores","43","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Some Progress"
"531","Traders Workwear","Lowes","9","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"532","Trenery","Country Road Group","53","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Some Progress","Some Progress","Limited Progress","Good Progress","Some Progress"
"533","Trent Nathan","Myer","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","No Evidence"
"534","Triban","Decathlon","32","3","This company is new to the Ethical Fashion Guide and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","No Evidence","Some Progress","Good Progress"
"535","True & Co.","PVH Corp","43","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"536","True Angel","Amazon","11","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","Some Progress"
"537","TS14+","Vestito (TS14+)","5","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"538","Typo","Cotton On Group","42","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Some Progress","Some Progress"
"539","Umi","Weyco Group","7","1","This company is new to the Ethical Fashion Guide and ranks in the bottom 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"540","Under Armour","Under Armour","23","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Good Progress"
"541","UNIQLO","UNIQLO","43","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","No Evidence","Limited Progress","Some Progress"
"542","Urban","Ezibuy","24","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence"
"543","Urban Equip","The Warehouse Group","20","2","This is unchanged from the previous year and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"544","Üterque","Inditex","60","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Some Progress","Some Progress","Limited Progress","Limited Progress","Good Progress"
"545","Valleygirl","Fast Future Brands","2","1","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence","No Evidence"
"546","Van Heusen","PVH Corp","43","4","This is unchanged from the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"547","Vanity Fair","Fruit of the Loom","34","3","This is lower than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"548","VANS","VF Corp","54","5","This is unchanged from the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Good Progress","Limited Progress","Limited Progress","Limited Progress","Some Progress","Good Progress"
"549","Venture Brands","ASOS","41","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Some Progress","Limited Progress","Some Progress","Good Progress"
"550","Veronika Maine","Cue Clothing Co.","30","3","This is unchanged from the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","No Evidence","Limited Progress","No Evidence"
"551","Victoria's Secret","Victoria's Secret & Co","38","4","This is higher than the previous year and ranks in the top 40% of companies assessed. Spotlight Issues:","Some Progress","No Evidence","Limited Progress","Limited Progress","Limited Progress","Some Progress"
"552","Volley","Brand Collective (Footwear)","22","2","This company is new to the Ethical Fashion Guide and ranks in the bottom 40% of companies assessed. Spotlight Issues:","Limited Progress","No Evidence","Limited Progress","No Evidence","Limited Progress","No Evidence"
"553","Von Zipper","Boardriders","5","1","This is unchanged from the previous year and ranks in the bottom 20% of companies assessed. Spotlight Issues:","No Evidence","No Evidence","No Evidence","No Evidence","Limited Progress","No Evidence"
"554","Voodoo","Hanesbrands","58","5","This is higher than the previous year and ranks in the top 20% of companies assessed. Spotlight Issues:","Some Progress","Some Progress","Some Progress","Some Progress","Limited Progress","Some Progress"
"555","Vue","Myer","24","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Limited Progress","Limited Progress","Some Progress","Limited Progress","Limited Progress","No Evidence"
"556","W. Lane","Mosaic Group","30","3","This is higher than the previous year and ranks in the middle 20% of companies assessed. Spotlight Issues:","Some Progress","Limited Progress","Limited Progress","Limited Progress","No Evidence","No Evidence"
